LeaderName,LeaderCode,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
He Duanqi,404,,,,,,,,,,,,,,0.85,0.85,0.85,0.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,3.85,3.85,3.85,3.85,3.85,4.85,4.85,4.85,4.85,4.85
Gu Chaoxi,403,,,,,,,,,,,,,,,,0.8512,0.8512,0.8512,0.8512,0.8512,1.8512,1.8512,1.8512,1.8512,1.8512,2.8512,2.8512,2.8512,2.8512,2.8512,3.8512,4.8512,4.8512,4.8512,4.8512,4.8512,4.8512,4.8512,4.8512,4.8512,4.8512,4.8512,4.8512
Gao Feng,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8524,4.8524,4.8524,4.8524,4.8524,4.8524,4.8524,4.8524
Liu Ping,401,,,,,,,,,,,,,,,,,0.8536,0.8536,0.8536,1.8536,1.8536,1.8536,1.8536,1.8536,2.8536,3.8536,3.8536,3.8536,3.8536,3.8536,3.8536,3.8536,3.8536,3.8536,3.8536,4.8536,4.8536,4.8536,4.8536,4.8536,4.8536,4.8536,4.8536
Kong Chuizhu,400,,,,,,,,,,,,,,,,,0.8548,0.8548,0.8548,1.8548,1.8548,1.8548,1.8548,3.8548,3.8548,3.8548,3.8548,3.8548,3.8548,3.8548,3.8548,3.8548,3.8548,4.8548,4.8548,4.8548,4.8548,4.8548,4.8548,4.8548,4.8548,4.8548,4.8548
Li Jiang,399,,,,,,,,,,,,,,,,,,,,,2.856,2.856,2.856,2.856,2.856,2.856,3.856,3.856,3.856,2.856,3.856,3.856,3.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856
Luo Zhengfu,398,,,,,,,,,,,,,,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,5.85
Li Jiheng,397,,,,,,,,,,,,,,,,0.853296703,0.853296703,0.853296703,1.853296703,1.853296703,1.853296703,2.853296703,2.853296703,2.853296703,2.853296703,3.853296703,3.853296703,4.853296703,4.853296703,4.853296703,4.853296703,4.853296703,4.853296703,4.853296703,4.853296703,4.853296703,4.853296703,4.853296703,4.853296703,4.853296703,4.853296703,4.853296703,5.853296703
Qin Guangrong,396,,,,,,,,,,,,,,2.856593406,2.856593406,2.856593406,2.856593406,2.856593406,2.856593406,2.856593406,3.856593406,3.856593406,3.856593406,3.856593406,4.856593406,4.856593406,4.856593406,4.856593406,4.856593406,4.856593406,4.856593406,4.856593406,4.856593406,4.856593406,4.856593406,4.856593406,4.856593406,5.856593406,5.856593406,5.856593406,5.856593406,5.856593406,5.856593406
Gan Lin,395,,,,,,,,,,,,,,,,,,,,,,,,,,0.8572,1.8572,1.8572,1.8572,1.8572,1.8572,2.8572,2.8572,2.8572,2.8572,3.8572,3.8572,3.8572,3.8572,3.8572,3.8572,3.8572,4.8572
